fire,attr_IncidentTypeCategory,attr_IncidentTypeKind,poly_GISAcres,n_records
Antelope,WF,FI,145631.8,4
Bobcat,WF,FI,115997.9,1
Bug,WF,FI,93733.33477824132,1
CALDWELL,WF,FI,80852.41,1
Caldor,WF,FI,221783.9,1
Castle,WF,FI,167215.95633086,5
Creek,WF,FI,379802,5
DOE,WF,FI,589835.4,2
Dixie,WF,FI,963309.366553759,2
Dolan,WF,FI,124527.308895083,1
Gifford,WF,FI,131613.6,4
Haypress (River Complex),WF,FI,193402.346584147,1
Hopkins,WF,FI,328363.1,1
Kelly,WF,FI,89326.05,1
MCFARLAND,WF,FI,122350.299316812,1
MONUMENT,WF,FI,223172.289348086,2
Madre,WF,FI,80779.1,1
McCash,WF,FI,94961.5,1
PARK,WF,FI,429602.8509153725,3
Red,WF,FI,143886.533625,5
Slater,WF,FI,157429.74652828,1
Sugar,WF,FI,105075.726767974,3
W-5 Cold Springs,WF,FI,84817.4186518791,1
Windy,WF,FI,97528.262621394,2
YORK,WF,FI,93077.87,1
