epoch,train_loss,val_loss,val_iou,threshold,precision,recall,lr
1,0.7869651371929921,0.535913709190584,0.7951040505388332,0.98,0.8606697506033789,0.9125659753691955,0.0003
2,0.18799532638723349,0.3506295534391557,0.8185538881309686,0.95,0.8890737515272831,0.9116596470650957,0.00029953760005996916
3,0.13304449160184179,0.3313013507473853,0.8270626352474206,0.995,0.8892573881968815,0.9220291091325905,0.00029815325108927063
4,0.118997324245418,0.2864712685827286,0.8437222215457302,0.95,0.9071140552995391,0.9235085568054593,0.0002958554880596515
5,0.10357322785116377,0.27351756922660336,0.8268087368199855,0.995,0.9193089514699212,0.8915071706562884,0.00029265847744427303
6,0.10069554043160815,0.27048744645810896,0.8225380318731829,0.98,0.8965993372258166,0.9087407367915978,0.000288581929876693
7,0.0971199018665317,0.2664721415888879,0.8458008711122017,0.97,0.9141140902219747,0.9188169749960015,0.0002836509786282552
8,0.09303063850621787,0.257375214128725,0.8406630746080287,0.97,0.9037703848662753,0.9233086314442608,0.00027789602465311383
9,0.08720542941571904,0.27811781917848893,0.8489923599831559,0.995,0.8971786754141715,0.9405022125073306,0.0002713525491562421
10,0.09127130377150718,0.24914179550063226,0.8427387360994129,0.995,0.9092202130881984,0.920163139094738,0.00026406089484000466
11,0.08553386835419402,0.24059755307051442,0.8476498991504187,0.97,0.910968352185394,0.9242149597483607,0.0002560660171779821
12,0.08290445731610668,0.2551685511585205,0.8590529179636756,0.99,0.914304720414259,0.9342778695953511,0.0002474172072495276
13,0.08057665372533458,0.24050119807643275,0.8556959214389697,0.99,0.920016978153891,0.924468198539212,0.000238167787843871
14,0.07841862968238844,0.27403531656149893,0.8628515168297336,0.995,0.9184285676858184,0.9344644665991363,0.00022837478470739232
15,0.08413782605559242,0.2495611535926019,0.8595541795665634,0.99,0.9238396933356404,0.9251079596950472,0.000218098574960932
16,0.07524198658612309,0.2307735095101018,0.8617949191117672,0.98,0.9180033548251821,0.9336647651543424,0.00020740251485476348
17,0.07476873664046023,0.2512685416206237,0.8570415214333761,0.995,0.9122934919870335,0.9339979740896732,0.00019635254915624213
18,0.07680511487533852,0.24512724289971013,0.8485227659264298,0.97,0.9055163025863745,0.930945780242043,0.00018501680457838585
19,0.0735763482267962,0.2231867262913335,0.8610513636754711,0.97,0.9170953933157916,0.9337314069414085,0.00017346516975603465
20,0.0741039254899029,0.2228217116527019,0.8670840742936179,0.97,0.9219022859468757,0.935823959055286,0.00016176886435917675
21,0.07555543397154127,0.21517306938767433,0.8624984523956915,0.97,0.9238522133517226,0.9285066908354215,0.00015
22,0.07554485607055986,0.2354474267171275,0.8703804482263889,0.99,0.9235655414982413,0.93794316788399,0.00013823113564082325
23,0.07082757882925929,0.2436908704619254,0.8636414123338558,0.99,0.9210197286163646,0.9327184517780028,0.00012653483024396538
24,0.07195459971597203,0.22938553327994962,0.8647022409310388,0.97,0.9240315410668924,0.9308791384549768,0.00011498319542161417
25,0.0697384120516327,0.23521531950081548,0.8646084281531448,0.995,0.9220674844200846,0.9327717652076558,0.00010364745084375787
26,0.07250423956738443,0.22644396522833454,0.867666546945246,0.98,0.9245773560503081,0.933758063656235,9.259748514523652e-05
27,0.07204880237097845,0.22312998218882468,0.864838320673322,0.99,0.927854989729773,0.9271871834515114,8.190142503906796e-05
28,0.06494411775702927,0.22089483300524373,0.8706103496782064,0.99,0.9295188729399255,0.9321453324092339,7.162521529260765e-05
29,0.06811675215963604,0.19802317443874576,0.8677236157122574,0.97,0.9297295133375145,0.9286266460521405,6.183221215612902e-05
30,0.0687010003570594,0.20512948004949477,0.871449571457046,0.98,0.9302631753926354,0.9323585861278456,5.258279275047245e-05
31,0.06522845338117711,0.2170556745221538,0.865179677819083,0.98,0.9248662109892439,0.9305859145918857,4.393398282201786e-05
32,0.06691286150099976,0.21602093993175414,0.8643643830502147,0.99,0.92876723319471,0.9257343924934691,3.5939105159995345e-05
33,0.06373384630776384,0.23510776388068352,0.8718919320121725,0.995,0.9238452262360405,0.9394092871994455,2.8647450843757884e-05
34,0.06568884087511066,0.2305912695104076,0.8680995671532575,0.99,0.9259077981347973,0.9329050487817881,2.210397534688616e-05
35,0.0630719377595906,0.21300003533401796,0.8760372925414917,0.99,0.9335686222281414,0.9342778695953511,1.6349021371744823e-05
36,0.06477769179028921,0.21405653967972724,0.8721740862463898,0.99,0.9296709129511678,0.9337847203710614,1.1418070123306984e-05
37,0.06825764750060784,0.21261729444226912,0.8707235695433494,0.99,0.9296081663033654,0.9321853174814736,7.3415225557269666e-06
38,0.06374938402730389,0.21049142160242604,0.8715735535545496,0.99,0.9287512921780158,0.9340246308044996,4.144511940348515e-06
39,0.06749262001846923,0.22835830142421107,0.8716175025193774,0.99,0.9290649409206042,0.933758063656235,1.8467489107293504e-06
40,0.0645646421694938,0.20492509343931753,0.8720737030056542,0.98,0.9260049242274624,0.9373967052300475,4.623999400308053e-07
